"from","to","hiking_time_to","hiking_time_back"
489,498,273974,273336
489,499,259101,259302
489,506,262700,258495
490,499,256885,257791
490,500,259749,259630
490,507,256123,254281
491,500,259569,260467
491,501,264788,266570
491,508,250554,253343
492,501,270214,266223
492,502,256784,256937
492,509,276872,275363
493,502,257192,257646
493,503,257108,258458
493,510,251284,251722
494,503,256468,256105
494,504,257157,257870
494,511,244522,244780
495,504,257196,256916
495,505,256234,256519
495,512,252719,252473
496,505,256154,255626
496,513,241625,241404
498,506,283223,279282
498,514,250467,250727
499,506,270776,266530
499,507,271891,269289
499,515,268243,266132
500,507,261866,259313
500,508,260371,261689
500,516,256955,256796
501,508,256500,258778
501,509,265750,268192
501,517,255241,254994
502,509,258530,256757
502,510,256908,256564
502,518,246587,243486
503,510,257334,256137
503,511,256505,256059
503,519,250603,249550
504,511,257913,256617
504,512,257817,257242
504,520,247014,246609
505,512,258221,256852
505,513,256060,256320
505,521,245939,246171
506,514,294981,299364
506,515,274288,278281
506,522,300020,302802
507,515,265984,266520
507,516,260904,263193
507,523,258162,259224
508,516,257528,255772
508,517,260432,257694
508,524,249244,250992
509,517,265436,262392
509,518,258188,256672
509,525,246673,245629
510,518,259559,256621
510,519,258714,258032
510,526,247064,244263
511,519,258062,256669
511,520,256710,257292
511,527,246566,247567
512,520,260392,259992
512,521,255977,257203
512,528,266286,267410
513,521,256549,256149
513,529,240855,241091
514,522,282107,279735
514,530,238227,238227
515,522,290394,288971
515,523,262612,264419
515,531,274776,273573
516,523,258379,258644
516,524,255682,258081
516,532,259037,258696
517,524,254716,258140
517,525,255224,256527
517,533,242806,246134
518,525,255691,256092
518,526,257749,258733
518,534,243336,245894
519,526,260436,258636
519,527,256367,257954
519,535,252787,252283
520,527,258295,257850
520,528,262899,264529
520,536,245848,246182
521,528,256376,256580
521,529,255549,256144
521,537,241602,242046
522,530,275087,276639
522,531,282015,282460
522,538,301654,300178
523,531,274934,272576
523,532,260607,260013
523,539,281475,280749
524,532,260732,258036
524,533,256195,256151
524,540,254628,251464
525,533,255216,257349
525,534,255081,257433
525,541,242326,244777
526,534,256950,258534
526,535,258718,259103
526,542,250630,250840
527,535,258814,256356
527,536,258252,258322
527,543,250610,251812
528,536,258512,256828
528,537,255142,255303
528,544,245517,245493
529,537,255556,255408
530,538,270700,265668
531,538,296743,295255
531,539,304521,306389
531,545,298497,299675
532,539,290278,290360
532,540,263933,263266
532,546,280849,280797
533,540,258934,256637
533,541,255470,256071
533,547,247606,246606
534,541,257270,257261
534,542,258532,256924
534,548,257377,255655
535,542,258983,257830
535,543,255116,258219
535,549,249249,249172
536,543,258519,259419
536,544,255918,257532
536,550,247593,247906
537,544,256665,256297
537,551,241894,242085
538,545,280915,282658
538,552,266067,270928
539,545,307654,306941
539,546,297464,296908
539,553,286724,289912
540,546,286649,287211
540,547,258597,260190
540,554,274673,276138
541,547,260288,258181
541,548,266648,265111
541,555,274967,271446
542,548,260776,260791
542,549,256342,258068
542,556,241561,242875
543,549,257872,255366
543,550,257153,257603
543,557,245616,243886
544,550,256995,256399
544,551,256305,256822
544,558,248387,247337
545,552,269175,272797
545,553,290360,294216
545,559,281966,285876
546,553,295204,296845
546,554,281829,284158
546,560,285894,289032
547,554,265331,266316
547,555,264504,262647
547,561,265464,264984
548,555,262022,258469
548,556,257030,258864
548,562,255896,255667
549,556,257545,257569
549,557,256985,257441
549,563,253239,253075
550,557,258804,255707
550,558,256496,255906
550,564,250340,247771
551,558,256812,255272
551,565,238227,238227
552,559,255670,255670
553,559,266973,268193
553,560,265526,265460
553,566,252715,253753
554,560,285218,286788
554,561,277127,276445
554,567,271589,274476
555,561,261847,264086
555,562,267025,269427
555,568,264483,268603
556,562,266643,264737
556,563,257273,257184
556,569,249983,250087
557,563,257854,257387
557,564,257661,258462
557,570,249518,247667
558,564,260607,258757
558,565,255358,256924
558,571,250816,248480
559,566,255625,255625
560,566,256232,257481
560,567,271620,272850
561,567,268774,273362
561,568,280181,283099
561,572,266308,270518
562,568,257230,260606
562,569,257245,258131
562,573,244765,247674
563,569,256229,255709
563,570,258689,257590
563,574,243845,243092
564,570,261746,260252
564,571,255921,256745
564,575,251761,252541
565,571,256839,254910
565,576,238227,238227
567,572,256000,256187
568,572,257942,259039
568,573,258295,257943
568,577,252022,253255
569,573,255445,257541
569,574,257746,257520
569,578,246313,249014
570,574,263028,263064
570,575,257478,259960
570,579,250048,252394
571,575,259966,260744
571,576,256558,258441
571,580,251418,253033
572,577,255670,255670
573,577,256606,258592
573,578,256132,256496
573,581,245149,247280
574,578,257692,260320
574,579,258955,261129
574,582,248908,246479
575,579,264917,264250
575,580,255229,256589
575,583,240841,242090
576,580,255670,255670
577,581,255625,255625
578,581,255515,257194
578,582,260700,255715
578,584,248821,250761
579,582,265138,261021
579,583,255241,256940
579,585,250327,249660
580,583,255414,254912
581,584,255233,255524
582,584,262329,268125
582,585,259280,262880
582,586,258125,264239
583,585,260649,258636
583,587,239108,239608
584,586,253721,253481
585,586,263846,266620
585,587,255409,258467
585,588,246019,248886
586,588,255381,255197
587,588,255670,255670
