"from","to","hiking_time_to","hiking_time_back"
109,131,256436,255985
109,152,242633,243183
110,131,257233,256385
110,132,256207,256187
110,153,245136,245275
111,132,255931,255685
111,133,255689,255923
111,154,239525,239806
112,133,262534,271965
112,134,279099,288054
112,155,276400,284290
113,134,258310,257939
114,135,256494,256969
114,136,288031,287728
114,157,308491,305361
115,136,265922,267394
115,137,278869,277021
115,158,297422,286752
116,137,288877,286083
116,138,293257,290792
116,159,288161,282394
117,138,288288,285526
117,139,311097,303618
117,160,287314,282407
118,139,293521,287443
118,140,320095,305560
118,161,296853,293337
119,140,308563,296631
119,141,307869,289994
119,162,318600,311482
120,141,343964,332282
120,142,359812,341221
120,163,339433,337641
121,142,329774,309772
121,143,314455,300778
121,164,315711,313460
122,143,290777,275105
122,144,263826,254072
122,165,281889,256747
123,144,259643,253749
123,145,279169,265931
123,166,264896,246496
124,145,287426,273269
124,146,281020,267691
124,167,277148,265762
125,146,259206,260339
125,147,332713,344590
125,168,304132,311236
126,147,299981,292595
126,148,255885,256106
126,169,239436,240308
127,148,257166,257224
127,149,257453,257996
127,170,246501,246942
128,149,257442,257069
128,150,256143,256420
128,171,245252,245611
129,150,256903,256532
129,151,256243,256231
129,172,242664,243145
130,151,256153,256386
130,152,256212,256394
130,173,241659,242030
131,152,255679,256596
131,153,255663,256519
131,174,249832,251058
132,153,255929,256019
132,154,255617,256176
132,175,263021,259223
133,154,255926,256009
133,155,257313,256501
133,176,240405,240657
134,155,283936,285098
134,177,241443,241982
135,156,256977,257323
135,157,296679,293429
135,179,278513,277549
136,157,277056,275069
136,158,306327,296708
136,180,289331,287169
137,158,300102,293387
137,159,297230,292583
137,181,278905,278969
138,159,292854,291143
138,160,289398,284903
138,182,273595,271292
139,160,276991,279076
139,161,274615,277883
139,183,259190,267862
140,161,288911,297420
140,162,285770,290270
140,184,280367,291386
141,162,342471,354682
141,163,302544,309817
141,185,296673,318859
142,163,282033,299414
142,164,296550,310987
142,186,264205,291044
143,164,296017,305411
143,165,286921,279223
143,187,313665,314718
144,165,277102,262446
144,166,267276,253453
144,188,284460,274904
145,166,272338,273020
145,167,258820,262709
145,189,262355,263356
146,167,256267,258834
146,168,319517,329341
146,190,263330,262679
147,168,348334,347077
147,169,287335,294363
147,191,289986,296343
148,169,255547,256192
148,170,255717,256383
148,192,241507,242076
149,170,256559,256836
149,171,256734,257481
149,193,245350,246197
150,171,256312,256222
150,172,255796,256254
150,194,243177,243652
151,172,256043,256153
151,173,255779,255968
151,195,242702,243187
152,173,255931,256153
152,174,255897,255923
152,196,241343,241573
153,174,255910,256025
153,175,263716,260330
153,197,245426,245408
154,175,266446,262210
154,176,255859,255985
154,198,262224,255571
155,176,256194,256930
155,177,268573,267980
155,199,247931,247401
156,178,256475,256499
156,179,264266,260240
156,200,263487,262818
157,179,270155,273366
157,180,267039,267500
157,201,254441,260207
158,180,263553,270542
158,181,257813,266233
158,202,254179,260548
159,181,256645,260017
159,182,266044,268101
159,203,260710,263577
160,182,263675,264708
160,183,258409,264279
160,204,251606,253651
161,183,256500,261498
161,184,259974,260101
161,205,248155,254794
162,184,253641,259450
162,185,252794,262266
162,206,242348,252373
163,185,252120,262608
163,186,269717,274743
163,207,251881,259903
164,186,256000,262330
164,187,285895,282032
164,208,318178,322858
165,187,279551,287470
165,188,265828,271308
165,209,302325,311218
166,188,263182,269411
166,189,255889,262137
166,210,271678,275720
167,189,259822,258597
167,190,265595,263743
167,211,265758,267924
168,190,345394,336935
168,191,334344,343222
168,212,373919,381723
169,191,255966,255790
169,192,255858,255760
169,213,239843,240126
170,192,256096,256021
170,193,256168,256514
170,214,242741,242925
171,193,256065,256208
171,194,256071,256406
171,215,241678,242150
172,194,256050,255888
172,195,255839,255971
172,216,240696,241191
173,195,256009,256039
173,196,256260,256101
173,217,240659,240905
174,196,257000,257101
174,197,257194,256942
174,218,254733,254379
175,197,281341,284653
175,198,306505,303471
175,219,267176,269590
176,198,270454,263566
176,199,256567,255120
